first_name,second_name,team,element_type,price,total_points,goals_scored,assists,clean_sheets,minutes,form,ict_index,goals_conceded,saves,bonus,selected_by_percent,points_per_game,expected_goals,expected_assists
Alex,Paulsen,4,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Illia,Zabarnyi,4,2,5.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Marcos,Senesi Barón,4,2,5.2,175,0,6,11,3288,7.0,168.6,53,0,14,22.0,4.7,1.53,4.72
Adam,Smith,4,2,4.4,58,0,2,6,1073,4.8,27.1,16,0,4,0.2,2.6,0.00,0.23
Adrien,Truffert,4,2,4.8,165,1,6,11,3378,6.5,162.6,51,0,19,5.3,4.3,1.35,3.07
Matai,Akinmboni,4,2,3.8,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
Owen,Bevan,4,2,3.8,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
James,Hill,4,2,4.2,110,0,3,8,2102,5.0,86.3,24,0,4,7.4,3.8,0.89,1.16
Julián,Araujo Zúñiga,4,2,3.8,0,0,0,0,0,0.0,0.0,0,0,0,0.5,0.0,0.00,0.00
Chris,Mepham,4,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Julio,Soler Barreto,4,2,3.9,3,0,0,0,34,0.0,0.6,2,0,0,0.2,1.0,0.00,0.00
Justin,Kluivert,4,3,6.9,41,2,0,4,945,0.2,58.8,19,0,3,0.6,2.0,2.31,1.55
Marcus,Tavernier,4,3,5.3,137,7,4,11,2732,4.2,207.9,44,0,14,4.2,4.0,9.06,4.60
Tyler,Adams,4,3,4.9,77,2,2,7,1769,2.8,66.3,28,0,3,0.3,3.1,0.63,0.63
David,Brooks,4,3,5.0,59,1,3,5,1188,1.5,104.1,20,0,4,0.2,1.9,5.81,3.40
Ryan,Christie,4,3,4.9,47,2,1,3,978,-0.2,64.7,14,0,2,0.1,1.8,1.81,0.79
Lewis,Cook,4,3,4.9,40,0,1,1,872,0.5,40.6,19,0,0,0.0,2.2,0.07,0.52
Philip,Billing,4,3,4.9,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Alex,Scott,4,3,4.9,136,3,2,11,2848,2.8,139.0,41,0,9,2.1,3.7,3.80,2.94
Luis,Sinisterra Lucumí,4,3,5.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Romain,Faivre,4,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Hamed,Traorè,4,3,4.5,4,0,1,0,16,0.0,3.1,2,0,0,0.3,4.0,0.00,0.00
Dominic,Sadi,4,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Zain,Silcott-Duberry,4,3,4.4,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Ben,Winterburn,4,3,4.5,1,0,0,0,6,0.0,0.0,2,0,0,0.0,1.0,0.00,0.00
Francisco Evanilson,de Lima Barbosa,4,4,6.6,115,6,7,11,2741,2.5,155.5,40,0,6,2.4,3.2,10.64,1.48
Enes,Ünal,4,4,5.4,27,1,0,0,214,1.0,19.1,3,0,1,0.0,1.2,2.00,0.07
Daniel,Adu-Adjei,4,4,4.4,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Junior,Kroupi,4,4,4.7,113,13,0,10,1663,4.5,139.9,21,0,13,7.6,3.4,8.31,1.51
Ben,Gannon-Doak,4,3,4.8,11,0,1,0,105,0.5,8.9,1,0,0,0.0,1.4,0.26,0.13
Bafodé,Diakité,4,2,4.1,46,0,0,4,1275,0.0,34.4,27,0,2,0.3,2.6,0.02,0.19
Remy,Rees-Dottin,4,3,4.3,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
Amine,Adli,4,3,5.4,67,3,2,3,1074,0.8,76.1,17,0,4,0.2,2.2,2.60,1.62
Álex,Jiménez Sánchez,4,2,4.5,74,1,2,6,2315,1.5,85.9,39,0,2,0.1,2.4,1.09,1.73
